DATE,SP500
2017-04-01,2359.3094736842105263
2017-05-01,2395.3459090909090909
2017-06-01,2433.9854545454545455
2017-07-01,2454.1025000000000000
2017-08-01,2456.2230434782608696
2017-09-01,2492.8410000000000000
2017-10-01,2556.9972727272727273
2017-11-01,2593.6057142857142857
2017-12-01,2664.3405000000000000
2018-01-01,2789.8038095238095238
2018-02-01,2705.1552631578947368
2018-03-01,2702.7738095238095238
2018-04-01,2653.6252380952380952
2018-05-01,2701.4936363636363636
2018-06-01,2754.3528571428571429
2018-07-01,2793.6433333333333333
2018-08-01,2857.8204347826086957
2018-09-01,2901.5005263157894737
2018-10-01,2785.4647826086956522
2018-11-01,2723.2295238095238095
2018-12-01,2567.3073684210526316
2019-01-01,2607.3900000000000000
2019-02-01,2754.8642105263157895
2019-03-01,2803.9838095238095238
2019-04-01,2903.8000000000000000
2019-05-01,2854.7059090909090909
2019-06-01,2890.1660000000000000
2019-07-01,2996.1136363636363636
2019-08-01,2897.4981818181818182
2019-09-01,2982.1560000000000000
2019-10-01,2977.6752173913043478
2019-11-01,3104.9045000000000000
2019-12-01,3176.7495238095238095
2020-01-01,3278.2028571428571429
2020-02-01,3277.3142105263157895
2020-03-01,2652.3936363636363636
2020-04-01,2761.9752380952380952
2020-05-01,2919.6150000000000000
2020-06-01,3104.6609090909090909
2020-07-01,3207.6190909090909091
2020-08-01,3391.7100000000000000
2020-09-01,3365.5166666666666667
2020-10-01,3418.7013636363636364
2020-11-01,3548.9925000000000000
2020-12-01,3695.3100000000000000
2021-01-01,3793.7484210526315789
2021-02-01,3883.4321052631578947
2021-03-01,3910.5082608695652174
2021-04-01,4141.1761904761904762
2021-05-01,4167.8495000000000000
2021-06-01,4238.4895454545454545
2021-07-01,4363.7128571428571429
2021-08-01,4454.2063636363636364
2021-09-01,4445.5433333333333333
2021-10-01,4460.7071428571428571
2021-11-01,4667.3866666666666667
2021-12-01,4674.7727272727272727
2022-01-01,4573.8155000000000000
2022-02-01,4435.9805263157894737
2022-03-01,4391.2652173913043478
2022-04-01,4411.4716666666666667
